Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
917255,784732,353578,896522,392435,324628,1139751,122348,1044884,814844,2329534,1244387,1170817,759933,782541,4325023,2996824,1493848,835742,1691547,6393422,4521016,3057164,3044771,2035334,9506674,6039789,4381482,4097269,2570725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956352,806471,375657,914302,410165,593111,297819,241996,142771,902603,2104592,1423668,830018,1401927,1363848,3622387,2055287,1863268,2141306,1823613,6409702,3923541,2698971,2314666,1949726,9950608,5617781,4418860,3472232,3683524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997746,830394,394637,932436,427757,869089,456047,355734,250531,996524,1859109,1643148,1530568,1035598,775830,4074449,2249009,2412976,1414051,1947228,6036404,4711200,3165045,2497287,1676666,9417990,6391484,3658396,3683464,3699868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39788,851413,412462,949548,445719,1142056,619341,436720,361497,85691,2697147,1610486,1352298,675578,1116941,3522499,2151310,1735197,1707024,2051891,6044097,4372996,1900874,2697647,2473235,9872762,5865749,4676948,3871635,2826188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79822,875188,430845,968913,462855,369432,782980,516081,448138,193693,2456298,1825811,1166550,1327083,459489,3840731,2378639,2144855,1974133,1026446,6004454,3972238,3390323,2899002,2437560,9812482,6286309,3861766,4270499,3854898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114345,898259,448996,987607,477095,633635,953505,602028,537949,284960,2246396,1985165,835610,993448,996987,4284992,2476145,1560839,1087089,649046,5658962,3632801,2876215,3100043,2111348,10187152,6115999,4903214,3162222,3714851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149279,922386,465687,1005279,495363,891385,1083460,693978,633698,394734,1990508,1134944,1531422,604731,613875,3594622,2643546,1968899,1426286,1638355,6307676,4275920,3614293,1529855,2078338,9534201,6101947,4783975,3655998,3676887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184580,945267,483400,21630,510774,1141907,245518,789623,737083,483579,1774472,1134552,1298079,1009615,1200650,4052032,2794033,2323942,1634374,1779837,6297333,3691517,3157862,2748593,1994523,9929691,5591312,4794813,3915095,3700983
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226324,968069,501193,38016,529418,420104,406844,883194,838155,573888,2454903,1174789,1049817,417715,765781,3493583,2920644,1742964,1940740,1895348,6274932,4313399,1922567,2983785,1678380,8874161,6064502,4685018,3897969,2790990
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265918,989998,522551,57080,547860,651754,560051,973336,938577,670037,2123586,1290199,774287,1022707,1324461,3799199,2791404,2313290,2192790,2008365,6276365,3923448,3455138,1855966,1959222,9757923,5681521,4760589,4194105,3884769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302482,1012363,540670,75425,567404,897147,717148,1068332,1042274,765363,1891164,1447279,1589181,698292,907539,4218327,2951701,1702339,1485086,1139009,6258273,4557585,2932793,2743485,1927475,10176791,6760991,4864693,3538834,3906995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341100,34250,559579,92878,586773,1166632,878634,179311,144453,894058,2574798,1574641,1406689,1364261,1487471,3658045,3180554,2155041,1712283,1235897,5952742,4179847,3772438,2951153,2852545,9161628,6651531,4981292,4014307,3009037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382318,55150,580458,110021,609351,402678,1044543,283035,242894,984748,2282642,1718042,1222778,1025928,1070700,4092753,2318097,1722302,1975113,1141439,6944158,3576809,3341236,2130231,2599319,9596040,6193864,4076864,3381986,3060947
